"타임스탬프","Q1. 귀하는 다음 중 어디에 해당합니까?","Q2. 현재 교직 경력은 얼마나 되셨습니까?","Q3. 지난 1년간 정도를 넘는 항의·민원을 경험하셨습니까?","Q4. 경험하신 민원의 주된 유형은 무엇이었습니까? (복수 선택 가능)","Q5. 체험학습·현장활동 계획을 취소하거나 축소했다","Q6. 학생 생활지도를 피하거나 소극적으로 대응했다","Q7. 수업 중 학생 지도 발언을 자제했다","Q8. 이직·명예퇴직을 고민했다","Q9. 민원 상황에서 가장 어렵게 느끼셨던 것은 무엇입니까?","Q10. 민원 경험 후 전반적인 교육활동 의욕이 어떻게 변화했습니까?","Q2. 지난 1년간 자녀 학교 교사 또는 학교에 문의나 건의를 한 적이 있습니까?","Q3. 문의나 건의를 하신 주된 이유는 무엇이었습니까? (복수 선택 가능)","Q4. 학교나 교사에게 문의할 때 어렵게 느끼신 점이 있었습니까? (복수 선택 가능)","Q5. 귀하는 주변 학부모 중 도를 넘는 민원을 제기하거나 교사·학교를 과도하게 압박하는 사례를 보거나 들은 적이 있습니까?","Q6. 그러한 사례가 귀하 또는 학교 공동체에 어떤 불편함을 주었습니까? (복수 선택 가능)","Q7. 일부 학부모의 과도한 민원이 교사의 교육활동을 위축시킨다고 생각합니까?","Q8. 교사가 민원이 두려워 체험학습이나 생활지도를 줄인다면, 그 피해는 결국 누구에게 돌아온다고 생각합니까?","Q2. 최근 1~2년 사이 학교 체험학습이나 현장활동이 줄었다고 느낍니까?","Q3. 선생님이 생활지도(수업 중 지도, 규칙 안내 등)를 예전보다 소극적으로 하신다고 느낀 적이 있습니까?","Q4. 학교에서 다양한 활동(체험학습, 모둠활동, 현장학습 등)이 충분히 이루어지고 있다고 생각합니까?","Q5. 학부모의 지나친 민원이 선생님을 위축시켜 수업과 학교 행사에 영향을 준다고 생각합니까?","Q6. 선생님이 민원이 두려워 교육활동을 줄인다면, 그 피해는 결국 누구에게 돌아온다고 생각합니까?","Q11. 대부분의 학부모 민원은 자녀를 걱정하는 정당한 관심에서 비롯된다","Q12. 일부 소수의 과도한 민원이 교사 전체에게 심각한 부담을 주고 있다","Q13. 현재 우리나라의 교권침해 문제가 심각한 수준이다","Q14. 교사가 정당한 생활지도를 해도 아동학대로 신고당할 수 있다는 불안감이 크다","Q15. 현재 교사가 정당한 생활지도를 해도 아동학대로 신고당할 수 있는 법적 환경이 교육활동을 위축시킨다고 생각합니까?","Q16. 교권침해 및 과도한 민원 문제를 해결하기 위해 가장 시급한 것은 무엇입니까? (최대 2개 선택)","Q17. AI가 학부모 민원을 먼저 분석해 감정적 표현을 걸러낸 뒤 교사에게 전달하는 시스템이 있다면,
교육활동 위축 문제 해결에 도움이 될 것 같습니까?","Q18. 민원과 교육활동 위축 문제 해결을 위해 가장 중요한 주체는 어디라고 생각합니까?"
"2026/06/23 5:48:48 오후 GMT+9","① 교사 (초등학교)","③ 10년 이상","④ 6회 이상 있었다","① 생활지도 (분리조치·벌점 등)에 대한 항의;④ 퇴근 후·주말 개인 연락","③ 가끔","④ 자주","④ 자주","⑤ 매우 자주","④ 학교 관리자나 교육청의 지원 부재","① 크게 줄었다","","","","","","","","","","","","","④ 그런 편이다","⑤ 매우 그렇다","⑤ 매우 그렇다","⑤ 매우 그렇다","⑤ 매우 그렇다","① 아동학대 신고 관련 법 조항 명확화;③ 학교 내 민원 전담 창구 설치;④ AI 기반 민원 완충·자동 대응 시스템 도입","⑤ 매우 그렇다","① 교육부·교육청의 제도 개선"
"2026/06/23 5:52:44 오후 GMT+9","④ 학부모","","","","","","","","","","② 있다","⑤ 학교 행사 또는 대회 참여 관련 문의","③ 학교 측 대응이 너무 형식적이거나 방어적이었다","① 직접 목격한 적 있다","② 선생님이 위축되어 수업이나 지도가 소극적으로 바뀌었다;③ 다른 학부모들도 정당한 문의를 하기 꺼려지는 분위기가 생겼다","⑤ 매우 그렇다","③ 사회 전체에 골고루 퍼진다","","","","","","⑤ 매우 그렇다","⑤ 매우 그렇다","⑤ 매우 그렇다","⑤ 매우 그렇다","⑤ 매우 그렇다","① 아동학대 신고 관련 법 조항 명확화;② 교사 대상 법률 지원 확대;③ 학교 내 민원 전담 창구 설치;④ AI 기반 민원 완충·자동 대응 시스템 도입;⑤ 학부모·학생 대상 교권 교육 강화","⑤ 매우 그렇다","① 교육부·교육청의 제도 개선"
"2026/06/23 6:07:43 오후 GMT+9","④ 학부모","","","","","","","","","","② 있다","① 자녀 안전에 우려가 있어서;③ 자녀가 학교생활에서 어려움을 겪는 것 같아서","① 어느 선생님께, 어떤 방식으로 연락해야 할지 몰랐다;④ 내 문의가 민원으로 오해받을까 봐 걱정됐다","③ 없다","","④ 그런 편이다","① 학생에게 가장 크다","","","","","","④ 그런 편이다","④ 그런 편이다","③ 보통이다","④ 그런 편이다","④ 그런 편이다","① 아동학대 신고 관련 법 조항 명확화;② 교사 대상 법률 지원 확대","③ 보통이다","① 교육부·교육청의 제도 개선"
"2026/06/23 6:17:28 오후 GMT+9","④ 학부모","","","","","","","","","","① 없다","① 자녀 안전에 우려가 있어서","⑤ 어려운 점 없이 소통이 잘 됐다","③ 없다","⑥ 기타","③ 보통이다","① 학생에게 가장 크다","","","","","","④ 그런 편이다","③ 보통이다","③ 보통이다","③ 보통이다","③ 보통이다","⑥ 기타","③ 보통이다","⑤ 사회 전체의 인식 변화"
"2026/06/23 6:52:11 오후 GMT+9","④ 학부모","","","","","","","","","","① 없다","⑥ 기타","④ 내 문의가 민원으로 오해받을까 봐 걱정됐다","③ 없다","","③ 보통이다","① 학생에게 가장 크다","","","","","","③ 보통이다","② 아닌 편이다","② 아닌 편이다","③ 보통이다","③ 보통이다","② 교사 대상 법률 지원 확대","④ 그런 편이다","⑤ 사회 전체의 인식 변화"
"2026/06/23 7:01:18 오후 GMT+9","① 교사 (초등학교)","③ 10년 이상","② 1~2회 있었다","① 생활지도 (분리조치·벌점 등)에 대한 항의","② 거의 없다","④ 자주","④ 자주","③ 가끔","① 정당한 지도인데 아동학대로 오해받을 가능성","② 다소 줄었다","","","","","","","","","","","","","③ 보통이다","④ 그런 편이다","④ 그런 편이다","④ 그런 편이다","④ 그런 편이다","① 아동학대 신고 관련 법 조항 명확화;③ 학교 내 민원 전담 창구 설치","③ 보통이다","② 학교 관리자 (교장·교감)의 적극적 보호"
"2026/06/23 7:01:53 오후 GMT+9","⑤ 학생 (초등학생)","","","","","","","","","","","","","","","","","③ 변화 없다","④ 느끼지 못한다","④ 충분한 편이다","① 전혀 아니다","③ 사회 전체에 골고루 퍼진다","","","","","⑤ 매우 그렇다","① 아동학대 신고 관련 법 조항 명확화;② 교사 대상 법률 지원 확대","② 아닌 편이다","① 교육부·교육청의 제도 개선"
"2026/06/23 7:30:09 오후 GMT+9","② 교사 (중학교)","② 3~10년","② 1~2회 있었다","① 생활지도 (분리조치·벌점 등)에 대한 항의;② 성적·수행평가 결과 이의;④ 퇴근 후·주말 개인 연락;⑤ 아동학대 신고 또는 신고 협박;⑥ 교사 개인 SNS·사생활 침해","① 전혀 없다","⑤ 매우 자주","④ 자주","④ 자주","① 정당한 지도인데 아동학대로 오해받을 가능성","② 다소 줄었다","","","","","","","","","","","","","④ 그런 편이다","⑤ 매우 그렇다","⑤ 매우 그렇다","⑤ 매우 그렇다","⑤ 매우 그렇다","① 아동학대 신고 관련 법 조항 명확화;④ AI 기반 민원 완충·자동 대응 시스템 도입","④ 그런 편이다","① 교육부·교육청의 제도 개선"
"2026/06/23 7:33:06 오후 GMT+9","③ 교사 (고등학교)","② 3~10년","① 경험 없다","② 성적·수행평가 결과 이의","① 전혀 없다","② 거의 없다","① 전혀 없다","② 거의 없다","③ 법적 근거를 즉시 찾기 어려운 상황","③ 변화 없다","","","","","","","","","","","","","③ 보통이다","② 아닌 편이다","④ 그런 편이다","② 아닌 편이다","③ 보통이다","② 교사 대상 법률 지원 확대;⑤ 학부모·학생 대상 교권 교육 강화","③ 보통이다","⑤ 사회 전체의 인식 변화"
"2026/06/23 7:36:48 오후 GMT+9","③ 교사 (고등학교)","③ 10년 이상","② 1~2회 있었다","② 성적·수행평가 결과 이의","① 전혀 없다","② 거의 없다","③ 가끔","④ 자주","② 감정적으로 공격적인 언어에 직접 노출","② 다소 줄었다","","","","","","","","","","","","","② 아닌 편이다","⑤ 매우 그렇다","⑤ 매우 그렇다","⑤ 매우 그렇다","④ 그런 편이다","① 아동학대 신고 관련 법 조항 명확화;② 교사 대상 법률 지원 확대;③ 학교 내 민원 전담 창구 설치;④ AI 기반 민원 완충·자동 대응 시스템 도입;⑤ 학부모·학생 대상 교권 교육 강화","④ 그런 편이다","④ AI 등 기술적 완충 시스템 도입"
