category,label,intensity,emergency,original,rewritten
안전·폭력,위험,3,True,하… 제 아들이 체육 수업 때 친구한테 맞고 왔는데 선생님은 뭐 하셨습니까? 고소하겠습니다.,체육 수업 중 제 아들 간 발생한 갈등의 사실관계 확인과 관련 절차 안내를 요청드립니다.
단순문의,정상,1,False,"안녕하세요, 애 준비물이 어떻게 되는지 확인 부탁드립니다. 확인 부탁드려요.",애의 준비물 관련 사항 확인을 요청드립니다.
감정성불만,주의,2,False,솔직히 제 딸이 알림장 안내 때문에 속상해하던데 좀 더 신경 써 주실 수 없나요? 확인 좀 부탁드려요.,제 딸의 알림장 안내 관련 어려움에 대한 확인과 지도 방안 상담을 요청드립니다.
안전·폭력,위험,3,True,아니 애가 체험학습 때 친구한테 맞고 왔는데 선생님은 뭐 하셨습니까? 고소하겠습니다.,체험학습 중 애 간 발생한 갈등의 사실관계 확인과 관련 절차 안내를 요청드립니다.
단순문의,정상,1,False,급식 식단 안내문을 못 봐서 다시 한 번 확인하고 싶습니다. 부탁드립니다.,급식 식단 안내 사항의 재확인을 요청드립니다.
학습상담,정상,1,False,"안녕하세요, 우리 애 수학 진도가 요즘 어떤지 궁금해서 여쭤봅니다. 확인 부탁드려요.",우리 애의 수학 진도 학습 상황과 가정 지도 방법에 대한 상담을 요청드립니다.
감정성불만,주의,2,False,솔직히 우리 애가 청소 당번 때문에 속상해하던데 좀 더 신경 써 주실 수 없나요? 확인 좀 부탁드려요.,우리 애의 청소 당번 관련 어려움에 대한 확인과 지도 방안 상담을 요청드립니다.
안전·폭력,주의,2,False,솔직히 등하교 때 안전 관리가 너무 부실한 거 아닙니까? 답변 부탁드립니다.,등하교 시 안전 관리 방안과 사고 예방 절차에 대한 안내를 요청드립니다.
감정성불만,위험,3,True,"아니 생활지도 이게 말이 됩니까, 선생님이 자격이 있긴 한 거예요? 기자한테 제보하겠습니다.",생활지도 운영 방식에 대한 결정 기준과 배경 설명을 요청드립니다.
감정성불만,위험,3,False,"아니 알림장 안내 이게 말이 됩니까, 선생님이 자격이 있긴 한 거예요? 이거 그냥 안 넘어갑니다.",알림장 안내 운영 방식에 대한 결정 기준과 배경 설명을 요청드립니다.
단순문의,정상,1,False,저희 애 급식 식단이 어떻게 되는지 확인 부탁드립니다. 감사합니다.,저희 애의 급식 식단 관련 사항 확인을 요청드립니다.
감정성불만,위험,3,True,"아니 자리 배치 이게 말이 됩니까, 선생님이 자격이 있긴 한 거예요? 기자한테 제보하겠습니다.",자리 배치 운영 방식에 대한 결정 기준과 배경 설명을 요청드립니다.
안전·폭력,위험,3,True,아니 저희 애가 체험학습 중에 다쳤는데 관리를 대체 어떻게 하는 겁니까? 변호사 통해 법적으로 대응하겠습니다.,체험학습 중 발생한 저희 애의 부상 경위 확인과 안전 조치를 요청드립니다.
환불·분쟁,위험,3,True,교재비로 낸 돈이 얼만데 이런 식으로 운영합니까? 교육청에 신고하겠습니다.,교재비 운영 내역 확인과 환불 가능 여부 및 절차에 대한 안내를 요청드립니다.
학습상담,주의,2,False,그… 애 받아쓰기가 너무 뒤처지는데 학교에서 신경은 쓰는 겁니까? 답변 부탁드립니다.,애의 받아쓰기 학습 상황과 가정에서 도울 수 있는 방법에 대한 상담을 요청드립니다.
감정성불만,주의,2,False,그… 우리 아이가 생활지도 때문에 속상해하던데 좀 더 신경 써 주실 수 없나요? 개선 부탁드립니다.,우리 아이의 생활지도 관련 어려움에 대한 확인과 지도 방안 상담을 요청드립니다.
단순문의,정상,1,False,애 알림장이 어떻게 되는지 확인 부탁드립니다. 확인 부탁드려요.,애의 알림장 관련 사항 확인을 요청드립니다.
환불·분쟁,주의,2,False,그… 저희 애가 방과후 수업을 안 갔는데 왜 비용을 다 떼갑니까? 확인 좀 부탁드려요.,저희 애가 참여하지 않은 방과후 수업의 비용 정산 기준에 대한 설명을 요청드립니다.
안전·폭력,주의,2,False,솔직히 현장체험 때 안전 관리가 너무 부실한 거 아닙니까? 확인 좀 부탁드려요.,현장체험 시 안전 관리 방안과 사고 예방 절차에 대한 안내를 요청드립니다.
환불·분쟁,위험,3,True,현장학습비로 낸 돈이 얼만데 이런 식으로 운영합니까? 기자한테 제보하겠습니다.,현장학습비 운영 내역 확인과 환불 가능 여부 및 절차에 대한 안내를 요청드립니다.
안전·폭력,위험,3,True,진짜 우리 아이가 현장체험 중에 다쳤는데 관리를 대체 어떻게 하는 겁니까? 교육청에 신고하겠습니다.,현장체험 중 발생한 우리 아이의 부상 경위 확인과 안전 조치를 요청드립니다.
안전·폭력,주의,2,False,그… 쉬는 시간 때 안전 관리가 너무 부실한 거 아닙니까? 확인 좀 부탁드려요.,쉬는 시간 시 안전 관리 방안과 사고 예방 절차에 대한 안내를 요청드립니다.
단순문의,정상,1,False,"안녕하세요, 준비물 안내문을 못 봐서 다시 한 번 확인하고 싶습니다. 감사합니다.",준비물 안내 사항의 재확인을 요청드립니다.
환불·분쟁,주의,2,False,솔직히 우리 애가 수련회비를 안 갔는데 왜 비용을 다 떼갑니까? 확인 좀 부탁드려요.,우리 애가 참여하지 않은 수련회비의 비용 정산 기준에 대한 설명을 요청드립니다.
학습상담,정상,1,False,"안녕하세요, 우리 애 수행평가가 요즘 어떤지 궁금해서 여쭤봅니다. 확인 부탁드려요.",우리 애의 수행평가 학습 상황과 가정 지도 방법에 대한 상담을 요청드립니다.
환불·분쟁,위험,3,False,하… 방과후 수업으로 낸 돈이 얼만데 이런 식으로 운영합니까? 당장 책임지세요.,방과후 수업 운영 내역 확인과 환불 가능 여부 및 절차에 대한 안내를 요청드립니다.
감정성불만,위험,3,True,"하… 청소 당번 이게 말이 됩니까, 선생님이 자격이 있긴 한 거예요? 기자한테 제보하겠습니다.",청소 당번 운영 방식에 대한 결정 기준과 배경 설명을 요청드립니다.
환불·분쟁,위험,3,True,도대체 현장학습비로 낸 돈이 얼만데 이런 식으로 운영합니까? 고소하겠습니다.,현장학습비 운영 내역 확인과 환불 가능 여부 및 절차에 대한 안내를 요청드립니다.
감정성불만,주의,2,False,그… 우리 아이가 자리 배치 때문에 속상해하던데 좀 더 신경 써 주실 수 없나요? 확인 좀 부탁드려요.,우리 아이의 자리 배치 관련 어려움에 대한 확인과 지도 방안 상담을 요청드립니다.
안전·폭력,위험,3,False,하… 제 딸이 등하교 중에 다쳤는데 관리를 대체 어떻게 하는 겁니까? 당장 책임지세요.,등하교 중 발생한 제 딸의 부상 경위 확인과 안전 조치를 요청드립니다.
칭찬·감사,정상,1,False,"안녕하세요, 선생님 덕분에 우리 아이가 발표 수업에 흥미를 붙였어요. 부탁드립니다.",우리 아이의 발표 수업 지도에 대한 감사 인사를 전합니다.
안전·폭력,위험,3,True,도대체 우리 아이가 현장체험 때 친구한테 맞고 왔는데 선생님은 뭐 하셨습니까? 고소하겠습니다.,현장체험 중 우리 아이 간 발생한 갈등의 사실관계 확인과 관련 절차 안내를 요청드립니다.
단순문의,정상,1,False,알림장 안내문을 못 봐서 다시 한 번 확인하고 싶습니다. 감사합니다.,알림장 안내 사항의 재확인을 요청드립니다.
칭찬·감사,정상,1,False,"안녕하세요, 선생님 덕분에 제 아들이 수행평가에 흥미를 붙였어요. 부탁드립니다.",제 아들의 수행평가 지도에 대한 감사 인사를 전합니다.
안전·폭력,위험,3,True,제 딸이 등하교 때 친구한테 맞고 왔는데 선생님은 뭐 하셨습니까? 변호사 통해 법적으로 대응하겠습니다.,등하교 중 제 딸 간 발생한 갈등의 사실관계 확인과 관련 절차 안내를 요청드립니다.
안전·폭력,주의,2,False,급식 시간 때 안전 관리가 너무 부실한 거 아닙니까? 많이 서운합니다.,급식 시간 시 안전 관리 방안과 사고 예방 절차에 대한 안내를 요청드립니다.
환불·분쟁,주의,2,False,우리 아이가 수련회비를 안 갔는데 왜 비용을 다 떼갑니까? 많이 서운합니다.,우리 아이가 참여하지 않은 수련회비의 비용 정산 기준에 대한 설명을 요청드립니다.
환불·분쟁,주의,2,False,그… 저희 애가 현장학습비를 안 갔는데 왜 비용을 다 떼갑니까? 개선 부탁드립니다.,저희 애가 참여하지 않은 현장학습비의 비용 정산 기준에 대한 설명을 요청드립니다.
단순문의,정상,1,False,우리 아이 상담 일정이 어떻게 되는지 확인 부탁드립니다. 부탁드립니다.,우리 아이의 상담 일정 관련 사항 확인을 요청드립니다.
감정성불만,주의,2,False,저기 우리 애가 청소 당번 때문에 속상해하던데 좀 더 신경 써 주실 수 없나요? 많이 서운합니다.,우리 애의 청소 당번 관련 어려움에 대한 확인과 지도 방안 상담을 요청드립니다.
