text,label
우리 아이 생활기록부 일정이 어떻게 되는지 알려주실 수 있을까요?,정상
선생이 자격이 있긴 합니까? 급식 이거 명백한 아동학대 아닙니까.,위험
급식 준비물 목록을 한 번 더 공유해 주시면 감사하겠습니다.,정상
이번 수업 안내가 늦어 혼란스러웠습니다. 개선 부탁드립니다.,주의
체험학습 똑바로 못 하면 교육청에 신고하고 변호사 부르겠습니다.,위험
급식에 대해 설명이 부족했던 것 같아 불만이 남습니다.,주의
생활기록부에 대해 설명이 부족했던 것 같아 불만이 남습니다.,주의
"제 아들 평가 관리를 어떻게 하는 겁니까, 당장 책임지세요.",위험
제 딸 평가 일정이 어떻게 되는지 알려주실 수 있을까요?,정상
안전에 대해 설명이 부족했던 것 같아 불만이 남습니다.,주의
"안녕하세요, 우리 아이 담임 선생님께 평가 관련 간단히 여쭤봅니다.",정상
"아이 수업 관리를 어떻게 하는 겁니까, 당장 책임지세요.",위험
평가 관련해서 안내문을 다시 확인하고 싶어 문의드립니다.,정상
이딴 식으로 생활기록부 할 거면 학교를 왜 보냅니까? 가만 안 둡니다.,위험
이딴 식으로 수업 할 거면 학교를 왜 보냅니까? 가만 안 둡니다.,위험
이번 수업 안내가 늦어 혼란스러웠습니다. 개선 부탁드립니다.,주의
선생님 늘 신경 써 주셔서 감사합니다. 체험학습 잘 부탁드립니다.,정상
저희 애 급식 때문에 속상해하는데 어떻게 된 일인지 궁금합니다.,주의
체험학습 똑바로 못 하면 교육청에 신고하고 변호사 부르겠습니다.,위험
선생님 늘 신경 써 주셔서 감사합니다. 급식 잘 부탁드립니다.,정상
저희 애 생활기록부 일정이 어떻게 되는지 알려주실 수 있을까요?,정상
선생이 자격이 있긴 합니까? 친구 관계 이거 명백한 아동학대 아닙니까.,위험
"제 아들 체험학습 관리를 어떻게 하는 겁니까, 당장 책임지세요.",위험
우리 아이 친구 관계 때문에 속상해하는데 어떻게 된 일인지 궁금합니다.,주의
선생이 자격이 있긴 합니까? 평가 이거 명백한 아동학대 아닙니까.,위험
